Draft Pick,Player,Team,Position,Manager,Unnamed: 5
1,Mookie Betts,LAD,OF,Patrick,check
2,Trevor Bauer,LAD,SP,Patrick,check
3,Francisco Lindor,NYM,SS,Patrick,
4,DJ LeMahieu,NYY,2B,Patrick,check
5,Walker Buehler,LAD,SP,Patrick,check
6,Max Scherzer,WSN,SP,Patrick,
7,Anthony Rendon,LAA,3B,Patrick,check
8,Aaron Nola,PHI,SP,Patrick,check
9,Will Smith,LAD,C,Patrick,check
10,Aroldis Chapman,NYY,CL,Patrick,check
11,Devin Williams,MIL,RP,Patrick,check
12,Vladimir Guerrero Jr.,TOR,1B/OF,Patrick,check
13,Whit Merrifield,KCR,OF/2B,Patrick,check
14,Trevor Rosenthal,OAK,RP/CL,Patrick,check
15,Tyler Glasnow,TBR,SP,Patrick,check
16,Trent Grisham,SDP,OF,Patrick,check
17,Tim Anderson,CHW,SS,Patrick,check
18,Brad Hand,WSN,RP/CL,Patrick,
19,Anthony Rizzo,CHC,1B,Patrick,check
20,Mike Moustakas,CIN,2B/3B,Patrick,check
21,Wil Myers,SDP,OF,Patrick,check
22,Kris Bryant,CHC,3B,Patrick,check
23,Mike Yastrzemski,SFG,OF,Patrick,check
24,Dinelson Lamet,SDP,SP,Patrick,check
25,Travis d'Arnaud,ATL,C,Patrick,check
26,Michael Brantley,HOU,OF,Patrick,check
27,Ian Happ,CHC,OF,Patrick,check
28,Joey Gallo,TEX,OF,Patrick,check
29,Kyle Schwarber ,WSN,OF,Patrick,
30,Kyle Hendricks,CHC,SP,Patrick,check
31,Rhys Hoskins,PHI,1B,Patrick,check
32,Kyle Lewis,SEA,OF,Patrick,check
33,Carlos Correa,HOU,SS,Patrick,check
34,Gio Urshela,NYY,3B,Patrick,check
35,Patrick Corbin,WSN,SP,Patrick,
36,Adam Ottavino,BOS,RP/CL,Patrick,
37,Jonathan India,CIN,3B/2B,Patrick,check
38,Cesar Hernandez,CLE,2B,Patrick,check
39,Freddy Peralta,MIL,RP/CL,Patrick,check
40,German Marquez,COL,SP,Patrick,check
1,"Fernando Tatis, Jr.",SDP,SS,Gross,
2,Joes Ramirez,CLE,3B,Gross,
3,J.T. Realmuto,PHI,C,Gross,
4,Freddie Freeman,ATL,1B,Gross,
5,Trea Turner,WSN,SS,Gross,
6,Aaron Judge,NYY,OF,Gross,
7,Yu Darvish,SDP,SP,Gross,
8,Jose Altuve,HOU,2B,Gross,
9,Nolan Arenado,COL,3B,Gross,
10,Jack Flaherty,STL,SP,Gross,
11,Raisel Iglesias,LAA,RP,Gross,
12,George Springer,TOR,OF,Gross,
13,Kenta Maeda,MIN,SP,Gross,
14,Nelson Cruz,MIN,OF,Gross,
15,Michael Comforto,NYM,OF,Gross,
16,Wilson Contreras,CHC,C,Gross,
17,Max Muncy,LAD,1B,Gross,
18,Rafael Montero,SEA,RP,Gross,
19,Eddie Rosario,CLE,OF,Gross,
20,Alex Colome,MIN,RP,Gross,
21,Jose Berrios,MIN,SP,Gross,
22,Lourdes Gurriel,TOR,OF,Gross,
23,Stephen Strasburg,WSN,SP,Gross,
24,Craig Kimbrel,CHC,RP,Gross,
25,Julio Urias,LAD,SP,Gross,
26,Sonny Gray,CIN,SP,Gross,
27,Daniel Bard,COL,RP,Gross,
28,Javier Baez,CHC,SS,Gross,
29,Dominic Smith,NYM,OF,Gross,
30,Jean Segura,PHI,2B,Gross,
31,Jake Mcgee,SFG,RP,Gross,
32,Andrew McCuthcheon,PHI,OF,Gross,
33,Nick Madrigal,CHW,2B,Gross,
34,Tyler Duffey,MIN,RP,Gross,
35,Jake Diekman,OAK,RP,Gross,
36,Carson Kelly,ARI,C,Gross,
37,Alex Verdugo,BOS,OF,Gross,
38,Kyle Seager,SEA,3B,Gross,
39,Zach Plesac,CLE,SP,Gross,
40,Jordan Montgomery,NYY,SP,Gross,
1,Gerrit Cole,NYY,SP,Gilland,
2,Jacob de Grom,NYM,SP,Gilland,
3,Trevor Story,COL,SS,Gilland,
4,Corey Seager,LAD,SS,Gilland,
5,Alex Bregman,HOU,3B,Gilland,
6,Marcell Ozuna,ATL,OF,Gilland,
7,Ozzie Albies,ATL,2B,Gilland,
8,Kyle Tucker,HOU,OF,Gilland,
9,Jose Abreu,CHW,1B,Gilland,
10,Brandon Woodruff,MIL,SP,Gilland,
11,Luke Voit,NYY,1B,Gilland,
12,Edwin Diaz,NYM,RP,Gilland,
13,Brandon Lowe,TBR,2B,Gilland,
14,Paul Goldschmidt,STL,1B,Gilland,
15,James Karinchak ,CLE,CL,Gilland,
16,Charlie Blackmon,COL,OF,Gilland,
17,Nick Castellanos,CIN,OF,Gilland,
18,Zack Wheeler,PHI,SP,Gilland,
19,Drew Pomeranz,SDP,RP,Gilland,
20,Lance Lynn,CHW,SP,Gilland,
21,Yasmani Grandal,CHW,C,Gilland,
22,Max Fried,ATL,SP,Gilland,
23,Starling Marte,MIA,OF,Gilland,
24,Alec Bohm,PHI,3B,Gilland,
25,Chris Paddack,SDP,SP,Gilland,
26,Joakim Soria,ARI,CL,Gilland,
27,Austin Nola,SDP,C,Gilland,
28,Richard Rodriguez,DET,CL,Gilland,
29,Taylor Rodgers,MIN,CL,Gilland,
30,Adalberto Mondesi,KCR,SS,Gilland,
31,Emilio Pagan,SDP,RP,Gilland,
32,Anthony Santander,BAL,OF,Gilland,
33,Mitch Garver,MIN,C,Gilland,
34,Ramon Laureano,OAK,OF,Gilland,
35,Sixto Sanchez,MIA,SP,Gilland,
36,A J Pollock,LAD,OF,Gilland,
37,Austin Riley,ATL,3B,Gilland,
38,Jonathan Schoop,DET,2B,Gilland,
39,Archie Bradley,PHI,CL,Gilland,
40,Hector Neris,PHI,RP,Gilland,
1,Mike Trout,LAA,OF,Ed,
2,Juan Soto,WSN,OF,Ed,
3,Pete Alonso,NYM,1B,Ed,
4,Bryce Harper,PHI,OF,Ed,
5,Gleyber Torres,NYY,SS,Ed,
6,Clayton Kershaw,LAD,SP,Ed,
7,Liam Hendriks,CHW,CL,Ed,
8,Josh Hader,MIL,CL,Ed,
9,Blake Snell,SDP,SP,Ed,
10,Salvador Perez,KCR,C,Ed,
11,Eugenio Suarez,CIN,SS,Ed,
12,Matt Chapman,OAK,3B,Ed,
13,Ketel Marte,ARI,OF,Ed,
14,Keston Hiura,MIL,1B,Ed,
15,Yordan Alvarez,HOU,OF,Ed,
16,Giancarlo Stanton,NYY,OF,Ed,
17,Hyun Jin Ryu,TOR,SP,Ed,
18,Zack Greinke,HOU,SP,Ed,
19,Will Smith,ATL,CL,Ed,
20,Josh Bell,WSN,1B,Ed,
21,Franmil Reyes,CLE,OF,Ed,
22,Joc Pederson,CHC,OF,Ed,
23,Shohei Ohtani,LAA,OF,Ed,
24,Dylan Bundy,LAA,SP,Ed,
25,Ke'Bryan Hayes,PIT,3B,Ed,
26,Gary Sanchez,NYY,C,Ed,
27,Charlie Morton,TBR,SP,Ed,
28,Jesse Winker,CIN,OF,Ed,
29,James McCann,NYM,C,Ed,
30,Corey Kluber,NYY,SP,Ed,
31,Domingo German,NYY,SP,Ed,
32,Dansby Swanson,ATL,SS,Ed,
33,Amir Garrett,CIN,CL,Ed,
34,Greg Holland,KCR,RP,Ed,
35,Bobby Dalbec,BOS,1B,Ed,
36,Adam Wainwright,STL,SP,Ed,
37,Jonathan India,CIN,2B,Ed,
38,Cesar Hernandez,CLE,2B,Ed,
39,Justin Upton,LAA,OF,Ed,
40,Tommy Edman,STL,2B,Ed,
1,Ronald Acuna Jr.,ATL,OF,Colin,
2,Shane Bieber,CLE,SP,Colin,
3,Cody Bellinger,LAD,1B,Colin,
4,Christian Yelich,MIL,OF,Colin,
5,Manny Machado,SDP,3B,Colin,
6,Xander Bogaerts,BOS,SS,Colin,
